Shoulder,Elbow
192.0,437.0
,
192.0,437.0
,
227.0,345.0
,
262.0,341.0
,
264.0,356.0
,
265.0,380.0
,
262.0,406.0
,
277.0,432.0
,
290.0,456.0
,
303.0,482.0
,
316.0,509.0
,
333.0,530.0
,
347.0,559.0
,
370.0,594.0
,
402.0,628.0
,
436.0,653.0
,
351.0,557.0
,
378.0,603.0
,
407.0,631.0
,
420.0,645.0
,
436.0,658.0
,
453.0,670.0
,
458.0,674.0
,
467.0,675.0
,
468.0,662.0
,
468.0,644.0
,
467.0,622.0
,
470.0,592.0
,
470.0,555.0
,
469.0,582.0
,
478.0,618.0
,
483.0,639.0
,
485.0,652.0
,
485.0,663.0
,
481.0,673.0
,
475.0,673.0
,
457.0,667.0
,
444.0,652.0
,
423.0,634.0
,
404.0,612.0
,
379.0,577.0
,
288.0,443.0
,
269.0,395.0
,
268.0,374.0
,
268.0,353.0
,
269.0,338.0
,
269.0,334.0
,
279.0,331.0
,
294.0,332.0
,
311.0,332.0
,
328.0,339.0
,
344.0,349.0
,
369.0,374.0
,
395.0,402.0
,
416.0,432.0
,
389.0,395.0
,
370.0,373.0
,
356.0,350.0
,
331.0,339.0
,
314.0,333.0
,
298.0,329.0
,
285.0,327.0
,
272.0,327.0
,
267.0,333.0
,
264.0,345.0
,
263.0,363.0
,
265.0,389.0
,
264.0,336.0
,
265.0,347.0
,
265.0,374.0
,
265.0,395.0
,
272.0,419.0
,
282.0,444.0
,
297.0,471.0
,
312.0,497.0
,
329.0,525.0
,
344.0,554.0
,
367.0,584.0
,
390.0,615.0
,
421.0,650.0
,
475.0,663.0
,
476.0,633.0
,
474.0,607.0
,
470.0,579.0
,
466.0,551.0
,
451.0,520.0
,
444.0,497.0
,
434.0,471.0
,
421.0,445.0
,
406.0,419.0
,
393.0,398.0
,
370.0,374.0
,
345.0,348.0
,
341.0,343.0
,
369.0,367.0
,
384.0,385.0
,
401.0,411.0
,
415.0,436.0
,
428.0,461.0
,
440.0,488.0
,
450.0,511.0
,
458.0,538.0
,
463.0,566.0
,
471.0,594.0
,
477.0,623.0
,
491.0,657.0
,
402.0,415.0
,
391.0,489.0
,
438.0,648.0
,
363.0,567.0
,
221.0,452.0
,
192.0,443.0
,
